902 1800
-44.57667 -90.41936 -8.70447
-48.01832 -96.61306 4.86993
-18.62883 -97.50908 -4.11320
-36.27413 -100.36136 6.11163
-26.58046 -88.06496 -18.24772
-12.48276 -91.29753 -15.56259
-3.66631 -99.97401 0.43446
-9.15384 -103.70097 9.81667
17.63215 -98.11862 -3.15408
31.58336 -101.60438 8.69110
52.91792 -93.76442 -5.12365
49.16416 -99.52506 9.79295
22.69664 -92.11559 -15.00371
40.62723 -90.00873 -17.33626
64.91545 -88.66852 -6.94336
72.11335 -88.86041 8.13941
84.66695 -72.97084 -12.70633
81.45614 -80.83295 5.18467
66.48615 -80.47292 -22.33368
76.80938 -72.58891 -25.30926
95.29071 -64.56938 -14.95031
102.66051 -64.33270 -0.87523
116.69727 -49.96601 -16.63967
113.84591 -57.48822 -3.28075
97.74609 -55.60006 -28.11353
107.99101 -48.13595 -27.28635
124.94150 -42.03952 -16.30863
132.21224 -42.49480 -6.82795
133.09161 -20.71379 -12.09959
137.34404 -31.93184 -7.16054
121.43572 -31.83288 -23.25714
124.42728 -20.80362 -19.10813
97.28537 -2.24369 -27.21677
100.25217 10.04004 -18.63528
116.48127 -10.12698 -20.00486
105.40658 -12.24198 -27.17934
81.18564 21.00424 -28.80571
92.37865 21.51369 -19.47025
86.41040 -4.30400 -35.16316
78.31254 7.04955 -36.05096
68.14912 32.55897 -29.55813
68.13968 44.35026 -22.29074
29.08794 51.51231 -27.97411
49.69610 53.83443 -21.81725
49.92181 28.86724 -35.75376
29.25222 38.26698 -34.45111
8.30968 59.40657 -27.89630
9.44190 68.99368 -21.03219
-25.58883 73.49558 -31.52459
-8.15790 75.27289 -22.35074
-11.37220 55.40682 -35.83298
-27.00192 63.34445 -38.37891
-38.97278 80.41428 -32.91101
-37.17005 87.59699 -23.48485
-48.97547 79.63194 -40.78737
-60.06556 87.36367 -39.09668
-56.23512 73.98673 -49.32753
-64.69654 84.47277 -43.71304
-45.75209 69.31898 -46.69424
-48.30772 66.64173 -50.60997
-61.73404 66.72236 -51.25421
-75.46638 69.28378 -48.40711
-82.84304 47.09237 -55.67593
-84.97720 59.07097 -51.26433
-59.98606 54.26363 -54.74947
-71.48345 44.88943 -56.64503
-92.18779 38.65166 -57.31144
-102.19450 41.21681 -55.58712
